node1	node2
	IFNB1
	TMPRSS11D
	CXCL8
	CTSL
	TMPRSS2
	AAK1
A2M	IL10
AAK1	ANLN
AAK1	AP2A1
AAK1	AP2B1
AAK1	AP2M1
AAK1	APP
AAK1	ATP13A2
AAK1	CDH1
AAK1	CLTB
AAK1	CLTC
AAK1	DYNLT1
AAK1	GAK
AAK1	GTSE1
AAK1	HSPA5
AAK1	NTRK1
AAK1	XPO1
AAMP	ACE2
AARS	STAT1
ABCB6	TNF
ABCC6	FURIN
ABL1	JAK1
ABL2	JAK1
ACE2	AGT
ACE2	CALM1
ACE2	CAT
ACE2	ISYNA1
ACE2	GHRL
ACE2	NTS
ACKR1	CCL2
ACKR2	CCL5
ACP2	TNF
ACTB	ICAM3
ACTB	MX1
ACTN4	STAT1
ACTRT1	GAK
ADAM17	TNF
ADAM19	FURIN
ADAM9	TNF
ADAMTS1	FURIN
ADAMTS4	FURIN
ADRA1B	STAT1
ADRBK1	CCR5
ADRBK2	CCR5
ADRM1	MX1
AFAP1	GAK
AFP	CCR5
AGO2	TNF
AGO4	JAK1
AHSA1	STAT1
AKT1	IRF3
AKT1	STAT1
ALB	CTSL
ALK	GAK
ANKRD40	CTRL
AP1M1	GAK
AP1M2	GAK
AP2A1	GAK
AP2A2	GAK
AP2B1	GAK
AP2M1	CLEC4M
AP2M1	FURIN
AP2M1	GAK
APC	CCL5
APCS	CRP
APEH	STAT1
APOA1	CTSL
APOA1	CD40LG
APP	MX1
APP	ICAM3
APP	GAK
AR	GAK
ARFGAP3	CXCL8
ARL6IP5	CCR5
ARRB1	CCR5
ARRB1	JAK1
ARRB2	STAT1
ASMTL	IRF3
ATF3	STAT1
ATG7	STAT1
ATIC	JAK1
ATP13A2	GAK
ATP6V1C1	STAT1
AXIN1	GAK
B4GALT1	TNF
B4GALT5	TNF
BACE1	FURIN
BAG4	CCL5
BAG6	CXCL8
BAG6	CTSL
BAG6	FURIN
BCAR1	SH2D3A
BCAR3	CCL5
BCAS3	IRF3
BCL3	STAT1
BDH1	TNF
BGN	TNF
BIRC2	TNF
BIRC2	CD40LG
BIRC3	CD40LG
BLM	MX1
BMF	CXCL9
BMP2K	GAK
BMX	STAT1
BPIFB3	STAT1
BRCA1	STAT1
BRCA1	JAK1
BRD7	MX1
BTK	JAK1
BTN3A3	CTSL
BTRC	TNF
C1QA	CRP
C7orf25	MX1
CAB39L	MX1
CALCR	MBL2
CALM1	GAK
CALML3	GAK
CALR	MBL2
CAMK2D	STAT1
CAMK2G	STAT1
